"","eruptionID","geyser","eruption_time_epoch","has_seconds","exact","ns","ie","E","A","wc","ini","maj","min","q","duration","entrant","observer","eruption_comment","time_updated","time_entered","associated_primaryID","other_comments","Old_Faithful_Preplay_Time_VEC","Old_Faithful_Height_VEC"
"35","23185","Old Faithful","10849500",0,"1","0","0",0,0,0,0,0,0,0,"","BoekelUpload","OFVCL-EV","",1335134441,1335134441,23185,"NULL","NULL","NULL"
"36","23186","Old Faithful","10852680",0,"1","0","0",0,0,0,0,1,0,0,"4:50","BoekelUpload","OFVCL-EV","",1335134470,1335134470,23186,"NULL","NULL","NULL"
"37","23187","Old Faithful","10856820",0,"1","0","0",0,0,0,0,1,0,0,"4:15","BoekelUpload","OFVCL-EV","",1335134500,1335134500,23187,"NULL","NULL","NULL"
"38","23188","Old Faithful","10865640",0,"1","0","0",0,0,0,0,0,1,0,"~2min","BoekelUpload","OFVCL-EV","",1335134538,1335134538,23188,"NULL","NULL","NULL"
"39","23189","Old Faithful","10872840",0,"1","0","0",0,0,0,0,0,0,0,"3.5min","BoekelUpload","OFVCL-EV","",1335134627,1335134611,23189,"NULL","NULL","NULL"
"40","23190","Old Faithful","10876320",0,"1","0","0",0,0,0,0,1,0,0,"4min","BoekelUpload","OFVCL-EV","",1335134651,1335134651,23190,"NULL","NULL","NULL"
"41","23191","Old Faithful","10880580",0,"1","0","0",0,0,0,0,1,0,0,"4min","BoekelUpload","OFVCL-EV","",1335134682,1335134682,23191,"NULL","NULL","NULL"
"42","23482","Old Faithful","10939020",0,"1","0","0",0,0,0,0,1,0,0,"4min","BoekelUpload","OFVCL-EV","",1335154608,1335154608,23482,"NULL","NULL","NULL"
"43","23483","Old Faithful","10943820",0,"1","0","0",0,0,0,0,0,1,0,"2min","BoekelUpload","OFVCL-EV","",1335154717,1335154717,23483,"NULL","NULL","NULL"
"44","23484","Old Faithful","10946460",0,"1","0","0",0,0,0,0,1,0,0,"4.5min","BoekelUpload","OFVCL-EV","",1335154745,1335154745,23484,"NULL","NULL","NULL"
"45","23491","Old Faithful","10950780",0,"1","0","0",0,0,0,0,1,0,0,"4min","BoekelUpload","OFVCL-EV","",1335155217,1335155217,23491,"NULL","NULL","NULL"
"46","23492","Old Faithful","10954860",0,"1","0","0",0,0,0,0,0,1,0,"2min","BoekelUpload","OFVCL-EV","",1335155267,1335155267,23492,"NULL","NULL","NULL"
"47","23493","Old Faithful","10957800",0,"1","0","0",0,0,0,0,1,0,0,"4.5min","BoekelUpload","OFVCL-EV","",1335155307,1335155307,23493,"NULL","NULL","NULL"
"48","23494","Old Faithful","10963200",0,"1","0","0",0,0,0,0,0,1,0,"2min","BoekelUpload","OFVCL-EV","",1335155409,1335155409,23494,"NULL","NULL","NULL"
"49","23495","Old Faithful","10965900",0,"1","0","0",0,0,0,0,1,0,0,"4.5min","BoekelUpload","OFVCL-EV","",1335155446,1335155446,23495,"NULL","NULL","NULL"
"50","23532","Old Faithful","11025720",0,"1","0","0",0,0,0,0,1,0,0,"4min","BoekelUpload","OFVCL-EV","",1335206745,1335206745,23532,"NULL","NULL","NULL"
"51","23533","Old Faithful","11029380",0,"1","0","0",0,0,0,0,1,0,0,"4.5min","BoekelUpload","OFVCL-EV","",1335206841,1335206841,23533,"NULL","NULL","NULL"
"52","23534","Old Faithful","11033340",0,"1","0","0",0,0,0,0,0,1,0,"2min","BoekelUpload","OFVCL-EV","",1335206869,1335206869,23534,"NULL","NULL","NULL"
"53","23535","Old Faithful","11036820",0,"1","0","0",0,0,0,0,1,0,0,"4min","BoekelUpload","OFVCL-EV","",1335206894,1335206894,23535,"NULL","NULL","NULL"
"54","23536","Old Faithful","11041320",0,"1","0","0",0,0,0,0,0,1,0,"2min","BoekelUpload","OFVCL-EV","",1335206936,1335206936,23536,"NULL","NULL","NULL"
"55","23537","Old Faithful","11044140",0,"1","0","0",0,0,0,0,1,0,0,"4.5min","BoekelUpload","OFVCL-EV","",1335206967,1335206967,23537,"NULL","NULL","NULL"
"56","23538","Old Faithful","11048340",0,"1","0","0",0,0,0,0,1,0,0,"4min","BoekelUpload","OFVCL-EV","",1335207007,1335207007,23538,"NULL","NULL","NULL"
"57","23539","Old Faithful","11052720",0,"1","0","0",0,0,0,0,0,1,0,"2min","BoekelUpload","OFVCL-EV","",1335207033,1335207033,23539,"NULL","NULL","NULL"
"58","23540","Old Faithful","11055540",0,"1","0","0",0,0,0,0,0,0,0,"","BoekelUpload","OFVCL-EV","",1335207059,1335207059,23540,"NULL","NULL","NULL"
